ticker,name
NPN.JO,Naspers
PRX.JO,Prosus
MTN.JO,MTN Group
VOD.JO,Vodacom Group
TKG.JO,Telkom SA
AGL.JO,Anglo American plc
BHG.JO,BHP Group Limited
ANG.JO,AngloGold Ashanti
GFI.JO,Gold Fields
HAR.JO,Harmony Gold Mining
DRD.JO,DRDGold
IMP.JO,Impala Platinum Holdings
VAL.JO,Valterra Platinum (fmr Anglo American Platinum)
SSW.JO,Sibanye Stillwater
NPH.JO,Northam Platinum Holdings
KIO.JO,Kumba Iron Ore
EXX.JO,Exxaro Resources
ARI.JO,African Rainbow Minerals
SOL.JO,Sasol
SAP.JO,Sappi
PAN.JO,Pan African Resources
SBK.JO,Standard Bank Group
FSR.JO,FirstRand
NED.JO,Nedbank Group
ABG.JO,Absa Group
CPI.JO,Capitec Bank Holdings
INL.JO,Investec Limited
INP.JO,Investec plc
OMU.JO,Old Mutual
SLM.JO,Sanlam
DSY.JO,Discovery Limited
MTM.JO,Momentum Group (fmr Momentum Metropolitan)
KST.JO,PSG Konsult
SNT.JO,Santam
CML.JO,Coronation Fund Managers
SHP.JO,Shoprite Holdings
PIK.JO,Pick n Pay Stores
WHL.JO,Woolworths Holdings
CLS.JO,Clicks Group
TFG.JO,The Foschini Group
MRP.JO,Mr Price Group
SPP.JO,Spar Group
TBS.JO,Tiger Brands
AVI.JO,AVI Limited
ITE.JO,Italtile
CSB.JO,Cashbuild
SUR.JO,Spur Corporation
PPH.JO,Pepkor Holdings
BID.JO,Bid Corporation
TRU.JO,Truworths International
BVT.JO,Bidvest Group
HDC.JO,Hudaco Industries
WBO.JO,Wilson Bayly Holmes-Ovcon
RBX.JO,Raubex Group
SPG.JO,Super Group
KAP.JO,KAP Industrial Holdings
MPT.JO,Mpact
REM.JO,Remgro
CFR.JO,Compagnie Financiere Richemont
APN.JO,Aspen Pharmacare Holdings
LHC.JO,Life Healthcare Group
NTC.JO,Netcare
ADH.JO,Adcock Ingram Holdings
GRT.JO,Growthpoint Properties
RDF.JO,Redefine Properties
FFB.JO,Fortress REIT
HYP.JO,Hyprop Investments
VKE.JO,Vukile Property Fund
EQU.JO,Equites Property Fund
ARL.JO,Astral Foods
OCE.JO,Oceana Group
MTA.JO,Metair Investments
